Individus,Cas SNIF,IICR,Taille,M,Echantillon,Omega,n_inf,M_inf,N0_inf
253,51,17,1x4,1,12,1,,,
254,51,17,1x4,1,12,1,,,
255,51,17,1x4,1,12,1,,,
256,52,18,1x4,5,11,0.3,,,
257,52,18,1x4,5,11,0.3,,,
258,52,18,1x4,5,11,0.3,,,
259,52,18,1x4,5,11,0.3,,,
260,52,18,1x4,5,11,0.3,,,
261,53,18,1x4,5,11,0.5,,,
262,53,18,1x4,5,11,0.5,,,
263,53,18,1x4,5,11,0.5,,,
264,53,18,1x4,5,11,0.5,,,
265,53,18,1x4,5,11,0.5,,,
266,54,18,1x4,5,11,1,,,
267,54,18,1x4,5,11,1,,,
268,54,18,1x4,5,11,1,,,
269,54,18,1x4,5,11,1,,,
270,54,18,1x4,5,11,1,,,
271,55,19,1x4,5,12,0.3,,,
272,55,19,1x4,5,12,0.3,,,
273,55,19,1x4,5,12,0.3,,,
274,55,19,1x4,5,12,0.3,,,
275,55,19,1x4,5,12,0.3,,,
276,56,19,1x4,5,12,0.5,,,
277,56,19,1x4,5,12,0.5,,,
278,56,19,1x4,5,12,0.5,,,
279,56,19,1x4,5,12,0.5,,,
280,56,19,1x4,5,12,0.5,,,
281,57,19,1x4,5,12,1,,,
282,57,19,1x4,5,12,1,,,
283,57,19,1x4,5,12,1,,,
284,57,19,1x4,5,12,1,,,
285,57,19,1x4,5,12,1,,,
286,58,20,1x4,10,11,0.3,,,
287,58,20,1x4,10,11,0.3,,,
288,58,20,1x4,10,11,0.3,,,
289,58,20,1x4,10,11,0.3,,,
290,58,20,1x4,10,11,0.3,,,
291,59,20,1x4,10,11,0.5,,,
292,59,20,1x4,10,11,0.5,,,
293,59,20,1x4,10,11,0.5,,,
294,59,20,1x4,10,11,0.5,,,
295,59,20,1x4,10,11,0.5,,,
296,60,20,1x4,10,11,1,,,
297,60,20,1x4,10,11,1,,,
298,60,20,1x4,10,11,1,,,
299,60,20,1x4,10,11,1,,,
300,60,20,1x4,10,11,1,,,
